"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 6/24/16, 1:21:39 PM"


23
X,Y
13.5246,0.0581930,
13.5246,0.321593,
13.5451,0.618683,
13.6066,0.882083,
13.6885,1.06891,
13.9754,1.18836,
14.0984,1.21286,
14.1189,1.47014,
14.2008,1.09035,
14.2008,0.863706,
14.3443,0.741194,
14.7131,0.600306,
14.9795,0.437979,
15.2049,0.419602,
15.3893,0.526799,
15.9426,0.358346,
16.7008,0.245023,
17.8689,0.171516,
19.1803,0.119449,
20.4713,0.0888208,
22.3361,0.0643185,
23.9754,0.0428790,
25.3689,0.0398162,
