#Zatsarinny        Chilton          Chutjian
13.931  0.5734     20.000  29.059   20.000  10.488
15.315  1.4907     40.000  17.095   29.977  14.521
16.620  4.9046     100.07  9.1171   50.037  11.439
18.350  8.6801     0.0     0.0      100.50  5.5468
20.000  10.488     0.0     0.0      0.0     0.0
22.660  11.949     0.0     0.0      0.0     0.0
26.687  12.884     0.0     0.0      0.0     0.0
30.106  13.093     0.0     0.0      0.0     0.0
35.153  12.776     0.0     0.0      0.0     0.0
41.940  12.107     0.0     0.0      0.0     0.0
50.037  11.260     0.0     0.0      0.0     0.0
56.204  10.754     0.0     0.0      0.0     0.0
63.133  9.8913     0.0     0.0      0.0     0.0
70.610  9.5630     0.0     0.0      0.0     0.0
77.960  8.8742     0.0     0.0      0.0     0.0
86.819  8.3662     0.0     0.0      0.0     0.0
100.07  7.6886     0.0     0.0      0.0     0.0
