#Zats       Hoshino       Khakoo         Filopivic       Chutjian

11.85 0.80  14.95 3.8000  14.032 4.4889  20.005 6.9111   15.935 3.9556
12.44 1.48  19.92 5.4667  14.838 8.8889  39.741 9.2889   19.850 3.6889
13.78 2.22  29.88 4.8667  17.349 8.5333  49.796 7.4000   29.887 4.5556
14.39 2.71  49.87 4.6889  19.892 8.1778  0.0    0.0      49.845 5.7778
15.33 2.95  0.0   0.0     29.851 6.5333  0.0    0.0      0.0    0.0
16.90 3.31  0.0   0.0     49.871 4.9111  0.0    0.0      0.0    0.0
18.54 3.55  0.0   0.0     0.0    0.0     0.0    0.0      0.0    0.0
20.64 3.66  0.0   0.0     0.0    0.0     0.0    0.0      0.0    0.0
22.75 3.68  0.0   0.0     0.0    0.0     0.0    0.0      0.0    0.0
25.45 3.77  0.0   0.0     0.0    0.0     0.0    0.0      0.0    0.0
28.19 3.88  0.0   0.0     0.0    0.0     0.0    0.0      0.0    0.0
