#E	    8   2       7   2       10   2      11   2     12   2       13   2    14   2     15   2     14   4     15   4
1.00E-02    6.86E+01    2.90E+02    1.42E+02    6.55E-01   4.13E+00      1.34E+01   1.37E+01    8.30E-01    3.89E+01    9.08E-01
5.00E-01    4.31E+01    2.19E+02    9.81E+01    1.96E-01   7.78E-01      5.47E+00   7.57E+00    6.82E-02    2.73E+01    7.41E-02
1.00E+00    4.09E+01    2.18E+02    9.55E+01    3.99E-02   7.08E-01      5.26E+00   7.28E+00    1.69E-02    2.67E+01    1.59E-02
1.50E+00    4.46E+01    2.41E+02    1.04E+02    2.06E-02   7.66E-01      5.73E+00   7.93E+00    8.53E-03    2.92E+01    8.17E-03
2.00E+00    4.99E+01    2.72E+02    1.17E+02    1.11E-02   8.56E-01      6.43E+00   8.91E+00    4.56E-03    3.28E+01    4.39E-03
2.50E+00    5.40E+01    2.96E+02    1.27E+02    6.81E-03   9.28E-01      6.98E+00   9.67E+00    2.78E-03    3.56E+01    2.69E-03
3.00E+00    5.79E+01    3.18E+02    1.37E+02    4.51E-03   9.97E-01      7.51E+00   1.04E+01    1.82E-03    3.82E+01    1.78E-03
3.50E+00    6.15E+01    3.38E+02    1.46E+02    3.14E-03   1.06E+00      8.00E+00   1.11E+01    1.25E-03    4.06E+01    1.23E-03
4.00E+00    6.50E+01    3.57E+02    1.54E+02    2.28E-03   1.13E+00      8.52E+00   1.18E+01    8.98E-04    4.31E+01    8.93E-04
#	   -1.76E+01   -9.74E+01    4.31E+01    0.00E+00  -3.29E-01     -2.51E+00  -3.50E+00    0.00E+00   -1.19E+01    0.00E+00

