#Direct            Cascade

10.414  0.3369     57.464  6.9407
12.176  1.1456     10.838  0.0673
13.558  3.5040     13.873  0.0673
14.078  5.9973     14.405  2.8976
15.442  7.8167     15.372  5.7951
17.333  12.332     15.547  10.849
18.312  15.566     15.252  14.825
20.831  13.208     16.676  18.396
24.302  13.275     17.210  21.294
27.281  11.658     18.157  23.585
32.443  10.512     18.986  22.507
37.589  8.8949     22.478  23.181
42.780  8.5580     25.447  21.294
47.957  7.8167     29.290  19.609
57.464  6.9407     31.414  18.329
0.0     0.0        37.478  18.194
0.0     0.0        44.823  17.453
0.0     0.0        50.444  17.049
0.0     0.0        59.106  16.779
0.0     0.0        68.615  15.970
