#Direct          Cascade

9.6112  1.2927   10.344  0.0099
12.939  1.8682   13.669  0.0131
14.475  14.453   14.842  14.018
15.245  21.106   15.981  20.527
15.293  31.667   16.402  31.811
16.471  46.566   17.927  41.936
17.981  53.654   21.618  41.209
19.078  51.193   24.188  37.590
24.238  48.440   26.760  34.549
24.943  41.206   30.797  28.614
27.147  38.455   37.429  24.846
32.685  37.437   42.961  22.671
37.825  30.488   47.388  21.220
42.255  29.760   57.354  19.185
47.794  29.032   0.0     0.0
57.387  26.274   0.0     0.0
