#Direct            Cascade

11.345  0.4790     11.765  0.0374
13.025  1.3598     14.706  0.0346
13.866  5.2805     14.706  1.7503
14.286  9.5448     16.387  7.1898
15.546  13.514     19.328  9.0007
15.966  17.877     22.269  9.6350
19.328  18.363     29.412  9.3339
19.748  17.579     39.496  10.059
21.008  16.940     44.118  10.643
22.689  16.399     48.739  11.570
27.311  16.003     54.622  12.103
32.353  15.557     59.244  12.393
37.815  15.012     0.0     0.0
42.437  14.566     0.0     0.0
47.479  14.659     0.0     0.0
57.563  13.718     0.0     0.0
