#Direct            Cascade

10.333  0.8884     9.6200  0.1686
11.401  6.4728     12.827  0.0154
12.470  8.4535     14.252  2.6856
14.252  25.028     19.240  52.049
18.527  52.230     20.309  69.165
22.447  51.685     23.515  62.134
24.228  46.818     25.653  55.825
27.435  40.688     28.504  50.957
32.423  29.150     30.998  45.548
37.411  26.081     34.561  41.040
42.043  19.589     37.767  34.910
47.031  13.817     43.468  27.876
57.363  9.6608     48.100  22.465
0.0     0.0        59.857  16.144
