#Direct            Cascade

10.719  0.2617     10.416  0.0460
12.226  1.1856     13.989  0.0583
13.158  3.1861     14.329  2.1610
14.404  5.9560     15.590  5.7514
15.693  10.931     16.287  10.880
17.353  19.598     17.041  18.880
19.810  23.446     18.909  23.035
20.624  19.446     20.928  19.754
22.095  18.575     21.790  18.216
24.758  17.807     23.554  17.140
27.375  14.681     28.280  15.296
32.376  11.760     33.600  13.453
37.669  8.5320     39.247  13.046
42.420  7.9703     43.406  12.637
47.475  7.7165     47.858  12.024
57.586  7.3114     58.264  11.517
67.106  7.1625     68.072  10.804
