#Direct            Cascade

11.681  0.7740     11.322  0.2211
12.765  2.9858     13.091  0.2211
13.936  13.823     14.985  12.607
14.681  17.583     15.730  16.367
15.809  24.107     16.506  23.112
16.979  34.945     18.025  33.397
20.890  36.825     21.272  39.589
24.764  35.055     24.779  36.603
26.510  32.844     26.518  33.618
27.547  30.411     29.302  29.084
32.446  25.103     32.813  26.430
37.703  20.237     39.148  23.112
42.999  19.131     42.316  21.564
48.659  19.131     47.942  18.136
