13.26786   0.55534     14.01898   8.55935
13.30623   2.82209     21.49063   10.80221
13.39546   5.47454       0          0
13.41979   8.92302       0          0
13.93522   8.36670       0          0
14.28527   8.38969       0          0
14.47021   9.11256       0          0
14.80407   9.35265       0          0
15.28810   9.66460       0          0
15.78912   10.12119      0          0
16.42293   10.33619      0          0
17.20668   10.52660      0          0
18.04044   10.71684      0          0
18.64124   11.07664      0          0
19.34188   11.36378      0          0
20.17601   11.72284      0          0
20.90982   11.93752      0          0
21.64347   12.07985      0          0
22.47696   12.14952      0          0
23.19367   12.17133      0          0
24.22700   12.16801      0          0
25.07683   12.09293      0          0
26.12666   12.01721      0          0
27.17623   11.82091      0          0
28.24235   11.57632      0          0
29.15858   11.38045      0          0
29.85820   11.20939      0          0




