13.051  0.033994
13.125  0.24363
13.003  0.49858
13.154  0.77054
13.147  1.1218
13.258  1.4108
13.421  1.0368
13.504  0.79887
13.586  0.59490
13.820  0.56091
14.008  0.90652
14.041  1.2181
14.166  0.81586
14.170  0.61756
14.754  0.65156
15.454  0.70822
16.001  0.62323
16.353  0.53824
16.628  0.45326
16.941  0.37394
17.293  0.29462
17.645  0.23796
18.270  0.16431
18.894  0.11331
19.557  0.090652
20.297  0.073654
21.155  0.067989
21.934  0.062323
22.908  0.056657
23.765  0.056657
24.856  0.050992
26.220  0.045326
27.155  0.045326
28.363  0.045326
29.493  0.045326
